open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1754572500000,776.55000000,776.60000000,776.54000000,776.59000000,46.90900000,1754572559999,36428.91778000,264,20.74700000,16111.91977000,0
1754572560000,776.60000000,776.98000000,776.44000000,776.98000000,200.03500000,1754572619999,155355.53008000,615,115.94100000,90049.11932000,0
1754572620000,776.99000000,777.23000000,776.98000000,777.15000000,276.46500000,1754572679999,214825.20843000,477,219.31400000,170412.27584000,0
1754572680000,777.15000000,777.15000000,776.73000000,776.74000000,98.05100000,1754572739999,76189.68601000,460,32.02800000,24887.54490000,0
1754572740000,776.73000000,776.73000000,776.38000000,776.39000000,48.75100000,1754572799999,37857.05401000,331,7.02100000,5452.32162000,0
1754572800000,776.39000000,776.44000000,776.20000000,776.21000000,59.74500000,1754572859999,46385.88181000,432,7.43600000,5773.12068000,0
1754572860000,776.20000000,776.22000000,775.60000000,775.61000000,117.89500000,1754572919999,91460.78208000,687,11.05700000,8580.36327000,0
1754572920000,775.61000000,775.98000000,775.60000000,775.87000000,54.19000000,1754572979999,42036.06943000,419,44.24100000,34317.26629000,0
1754572980000,775.87000000,775.90000000,775.65000000,775.83000000,47.40800000,1754573039999,36775.99871000,496,19.46100000,15096.85770000,0
1754573040000,775.83000000,775.89000000,775.32000000,775.89000000,107.08100000,1754573099999,83049.96672000,832,65.83500000,51059.56007000,0
1754573100000,775.90000000,776.14000000,775.80000000,776.14000000,123.26700000,1754573159999,95647.83508000,480,109.32000000,84825.64542000,0
1754573160000,776.14000000,776.44000000,776.14000000,776.37000000,51.73700000,1754573219999,40165.89246000,418,42.35100000,32879.10322000,0
1754573220000,776.37000000,776.60000000,776.37000000,776.59000000,39.47300000,1754573279999,30650.61126000,270,22.76600000,17677.62843000,0
1754573280000,776.60000000,776.60000000,776.00000000,776.01000000,50.72400000,1754573339999,39373.77237000,701,6.37600000,4948.96650000,0
1754573340000,776.01000000,776.24000000,775.80000000,776.20000000,106.81000000,1754573399999,82885.62715000,438,74.92200000,58140.88066000,0
1754573400000,776.20000000,776.20000000,776.05000000,776.09000000,41.58800000,1754573459999,32277.54786000,437,24.67400000,19150.01882000,0
1754573460000,776.08000000,776.08000000,775.40000000,775.92000000,158.60300000,1754573519999,123027.56230000,945,64.51500000,50040.27623000,0
1754573520000,775.93000000,776.40000000,775.56000000,776.39000000,99.81200000,1754573579999,77449.45760000,714,79.10700000,61383.94353000,0
1754573580000,776.40000000,776.40000000,775.80000000,775.80000000,101.82000000,1754573639999,79026.85131000,540,73.52600000,57066.42674000,0
1754573640000,775.80000000,776.20000000,775.79000000,776.20000000,42.14300000,1754573699999,32697.94125000,431,34.07000000,26434.63279000,0
1754573700000,776.20000000,776.20000000,775.23000000,775.75000000,150.40500000,1754573759999,116659.81575000,996,55.04600000,42694.16028000,0
1754573760000,775.75000000,775.90000000,775.62000000,775.77000000,90.86900000,1754573819999,70494.56235000,588,57.76900000,44816.25558000,0
1754573820000,775.78000000,775.78000000,775.25000000,775.26000000,107.77000000,1754573879999,83589.25886000,764,43.86100000,34019.98306000,0
1754573880000,775.26000000,775.75000000,775.25000000,775.75000000,141.43000000,1754573939999,109661.62623000,629,104.22100000,80812.06141000,0
1754573940000,775.76000000,776.48000000,775.70000000,776.48000000,228.66500000,1754573999999,177461.63471000,743,134.05700000,104033.83873000,0
1754574000000,776.48000000,776.56000000,776.01000000,776.01000000,122.84300000,1754574059999,95373.33356000,909,75.37100000,58517.28702000,0
1754574060000,776.01000000,776.18000000,775.90000000,776.12000000,95.04700000,1754574119999,73761.85539000,644,61.94200000,48069.76816000,0
1754574120000,776.11000000,776.15000000,775.11000000,775.11000000,191.74500000,1754574179999,148759.19080000,1216,91.32800000,70860.77715000,0
1754574180000,775.12000000,775.15000000,774.81000000,775.00000000,104.73700000,1754574239999,81167.84797000,707,69.30900000,53711.20035000,0
1754574240000,775.00000000,775.90000000,774.99000000,775.90000000,90.96300000,1754574299999,70537.99027000,798,82.03400000,63614.39180000,0
1754574300000,775.89000000,775.89000000,774.13000000,774.21000000,189.08900000,1754574359999,146518.97503000,1135,40.08500000,31055.80065000,0
1754574360000,774.21000000,774.62000000,773.89000000,774.09000000,194.20700000,1754574419999,150365.40816000,1087,82.58100000,63934.54313000,0
