open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1754572500000,3842.59000000,3843.16000000,3842.42000000,3842.42000000,200.53920000,1754572559999,770622.20384300,897,27.32980000,105017.34338700,0
1754572560000,3842.43000000,3843.46000000,3840.47000000,3843.46000000,427.37450000,1754572619999,1641979.51567000,2052,102.10820000,392310.29210100,0
1754572620000,3843.46000000,3845.00000000,3842.00000000,3844.38000000,269.83410000,1754572679999,1037206.41514800,1503,156.77270000,602632.35363600,0
1754572680000,3844.38000000,3844.99000000,3843.04000000,3843.05000000,159.26820000,1754572739999,612277.07760100,938,42.85560000,164759.64141700,0
1754572740000,3843.05000000,3843.93000000,3841.23000000,3841.80000000,316.07540000,1754572799999,1214603.19976500,1100,65.19170000,250531.24862700,0
1754572800000,3841.80000000,3843.73000000,3841.41000000,3842.48000000,416.68550000,1754572859999,1601096.62357200,1332,167.79460000,644700.46502400,0
1754572860000,3842.48000000,3842.78000000,3839.08000000,3839.08000000,169.74420000,1754572919999,652064.72201500,1564,43.38600000,166673.24887200,0
1754572920000,3839.08000000,3841.12000000,3838.25000000,3840.00000000,306.76140000,1754572979999,1177886.60648400,1762,145.14910000,557286.29733100,0
1754572980000,3840.01000000,3840.01000000,3839.12000000,3839.12000000,671.47500000,1754573039999,2578190.42204000,1183,190.47450000,731332.31408100,0
1754573040000,3839.12000000,3839.13000000,3828.89000000,3833.12000000,1992.05540000,1754573099999,7636067.24955400,7190,902.13440000,3457502.81710500,0
1754573100000,3833.11000000,3833.11000000,3828.80000000,3832.05000000,1202.18690000,1754573159999,4604667.41396500,3677,659.31830000,2525350.43805400,0
1754573160000,3832.05000000,3834.24000000,3830.62000000,3834.00000000,508.54230000,1754573219999,1949094.79251300,3086,292.24110000,1120115.94792500,0
1754573220000,3834.01000000,3834.80000000,3833.39000000,3833.40000000,894.93080000,1754573279999,3431220.86488700,2080,375.04170000,1437906.71565700,0
1754573280000,3833.39000000,3833.39000000,3828.35000000,3828.98000000,871.35390000,1754573339999,3336734.97934100,3110,497.81300000,1906181.19966900,0
1754573340000,3828.98000000,3832.11000000,3826.30000000,3832.11000000,712.37490000,1754573399999,2727354.50746200,3376,417.80480000,1599747.91744100,0
1754573400000,3832.11000000,3833.96000000,3830.70000000,3831.90000000,488.88060000,1754573459999,1873487.71831700,4221,271.75010000,1041399.99549800,0
1754573460000,3831.90000000,3834.00000000,3827.71000000,3833.99000000,624.32900000,1754573519999,2391579.93843600,4292,375.47040000,1438473.28080600,0
1754573520000,3834.00000000,3838.79000000,3829.81000000,3838.63000000,691.28320000,1754573579999,2651123.83004100,4063,544.35230000,2087743.60612300,0
1754573580000,3838.63000000,3839.05000000,3833.40000000,3834.98000000,945.45540000,1754573639999,3628371.82469300,3723,617.84810000,2371210.92516400,0
1754573640000,3834.98000000,3838.13000000,3834.98000000,3837.75000000,841.67540000,1754573699999,3229777.31020100,3117,607.07030000,2329521.03489700,0
1754573700000,3837.74000000,3837.75000000,3832.34000000,3836.36000000,541.76660000,1754573759999,2077731.39179100,4628,248.66350000,953570.77590600,0
1754573760000,3836.36000000,3837.75000000,3833.93000000,3835.36000000,580.72950000,1754573819999,2227795.29173800,5288,321.02480000,1231484.83695300,0
1754573820000,3835.35000000,3837.41000000,3833.82000000,3836.65000000,350.03600000,1754573879999,1342665.13046900,2788,230.05620000,882406.19503100,0
1754573880000,3836.64000000,3847.45000000,3836.64000000,3847.45000000,1331.68730000,1754573939999,5117274.45576400,4026,1169.30040000,4493237.03739700,0
1754573940000,3847.45000000,3862.54000000,3846.32000000,3862.01000000,5426.80470000,1754573999999,20926233.16858400,13873,3906.74490000,15065042.92856100,0
1754574000000,3862.02000000,3863.80000000,3856.74000000,3859.07000000,1688.13530000,1754574059999,6517984.37945100,10797,919.74170000,3550993.68408200,0
1754574060000,3859.07000000,3862.00000000,3856.88000000,3860.52000000,709.44340000,1754574119999,2738417.40001700,4910,370.56880000,1430477.48577200,0
1754574120000,3860.51000000,3864.00000000,3854.38000000,3854.95000000,961.24870000,1754574179999,3712009.28535100,6377,640.12220000,2472285.15899400,0
1754574180000,3854.94000000,3857.08000000,3852.09000000,3853.87000000,523.51280000,1754574239999,2017869.29509200,5180,296.09300000,1141312.91446400,0
1754574240000,3853.86000000,3859.44000000,3853.85000000,3859.44000000,342.05180000,1754574299999,1319265.92311300,3371,229.96320000,886892.45461800,0
1754574300000,3859.44000000,3859.44000000,3851.60000000,3851.60000000,340.29470000,1754574359999,1311615.55615000,4771,96.65030000,372466.17315400,0
1754574360000,3851.61000000,3854.08000000,3848.00000000,3848.18000000,1081.11800000,1754574419999,4163028.71551200,4648,334.71490000,1288824.61396200,0
